Ciudades,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD,PRD,SHDI,SIDI,MSIDI,SHEI,SIEI,MSIEI,NP,DIVISION,SPLIT,MESH,PAFRAC,SHAPE_MN,SHAPE_MD,PARA_MN,PARA_MD,FRAC_MD,SQUARE_MN,SQUARE_MD,IJI,LSI,TE,ED,RNMDP_2020,PobT,PobH,PobM,Vehiculos,T_Viviendas,T_Viv_Prin,T_Viv_Sec,Viv_vacias,COM,ED_SING,EQUIP,IND,OCIO,OFI,RES_PLU,RES_UNI
Albacete,0.3618483120313396,0.0437706161568827,0.3434424755012548,0.0033128141333032,0.4523795855100752,0.6447294427426877,0.0439126139376492,0.6126861217271208,0.171892946798317,0.3135447142916568,0.9397634448483974,0.8646933824103425,0.8988687387371098,0.9397643502096976,0.86469199492293,0.111975824140116,0.9988461911800172,0.3783293729247358,0.0033128145495807,0.9347747097937564,0.8760243983260595,0.8793935191754967,0.5295942016771312,0.5316365293362485,0.9460394835654404,1.417835084475942e-06,0.727307494877727,0.549032577944929,0.3628668794417242,0.1282287617697872,0.5207699957336218,0.6705737529436951,0.0522788951429351,0.054838828006196,0.0500451755388355,0.0621317459520933,0.0543588270246622,0.0476929356448277,0.0901526384648931,0.0985036021972423,0.1823783376762953,0.0952856207257916,0.3609683000315088,0.548393348899104,0.1145065503003644,0.115850420146955,0.3643264128085626,0.5200514325451561
Alcalá de Henares,0.3641048345399513,0.0366218116128979,0.4023928115388131,0.0050744091154978,0.2849474711521901,0.5840047062132384,0.0676926206341294,0.5229714068915776,0.1708278231812014,0.3335069468517311,0.9286413947867258,0.8426677386895136,0.9298919365240084,0.928641828218948,0.8426670722868929,0.0961672813530682,0.9978775121360072,0.2485315903196683,0.0050744091460811,0.9243060971486532,0.9140392116963874,0.9317492167527056,0.6850849100332899,0.7202398426169747,0.9729907896624004,1.5579413765101551e-06,0.8415272734675715,0.6406428629699932,0.2879092215409687,0.1012069033505898,0.4084799537736441,0.7087882680368229,0.0592437768574967,0.0618193331741638,0.0569964247028494,0.0616180099736325,0.0515491449503424,0.0544205323464576,0.0218927169646751,0.0378704254054513,0.6382942533357829,0.1562740820374656,0.579081920379484,0.799754913081335,0.1348816329799733,0.3969668237710916,0.3036721847452601,0.1432821836855282
Alcobendas,0.312558693468258,0.0430756495229162,0.8535059083040646,0.0042783015504232,1.0,1.0,0.0558830274889561,1.0,0.1708278231812014,0.3335069468517311,0.9286413947867258,0.8426677386895136,0.9298919365240084,0.928641828218948,0.8426670722868929,0.0389202099140522,0.9979275472105946,0.2530467567705446,0.0042783020309336,0.9268919193057592,0.8813545550442543,0.871806994337679,0.4322299945219333,0.3606292692117266,0.9394936318697812,-1.0322149421297084e-05,0.718086676564638,0.8542490014242029,0.2135233075461917,0.0703356140310911,0.3306973823960284,1.0,0.0355102212173099,0.0363949008268877,0.0347382766809427,0.1227376861112919,0.026894723439265,0.0296100583780312,0.0098735281290885,0.0098823652360206,0.3195179717346669,0.1472449977759569,0.4841065016037634,0.2431343785873758,0.0698854585541334,1.0,0.3068885872857171,0.619428438020214
Alcorcón,0.1774073433937916,0.0492396104594951,0.4754186830394664,0.0033651885472725,0.4048022274527814,0.7419211775441561,0.0534379357263995,0.6521214548044467,0.3506012360676795,0.3098043684743271,0.9429770900206486,0.8712072735274901,0.905383887512732,0.9429781524612104,0.8712070567693627,0.039659458317763,0.9968567966144266,0.182600868335537,0.0033651884415247,0.9277845148202412,0.8820293031441849,0.8992568617315777,0.5525451940499768,0.5492632529038307,0.9538235951763094,1.4601010463355728e-06,0.7794303479946427,0.4573479373955383,0.2200139246175072,0.0503013818857965,0.4166730202969392,0.7237208306572468,0.0516935404065696,0.0533876397372029,0.0502153208249407,0.0493787719722741,0.046269319420956,0.0500298743460017,0.0227300479720889,0.0227823462942763,0.7857209962680692,0.0952743755061212,1.0,0.4783181840463264,0.0605669627242472,0.0721311768618725,0.5172527315444421,0.1279356190888312
Algeciras,0.2396821683573031,0.0305536695016717,0.1866711491334389,0.0029270492385727,0.191471955910213,0.4201083838385547,0.046357743453476,0.3956039687799724,0.2595069526220045,0.5240392614983569,0.777919942647262,0.6029390883257081,0.7550267898578239,0.7779209280493822,0.6029391275671351,0.1364603811597264,0.9982267569566264,0.2836261954857261,0.0029270491808311,0.9457112588752395,0.89024074023046,0.8929504434786253,0.8513231637941933,0.8476491129678881,0.9627399574002956,1.4590105038789858e-06,0.7579989617309139,0.601339077417994,0.3743871880987361,0.106932768163873,0.6556350170082643,0.5708092485549133,0.036907935574994,0.039081690637551,0.0350111829814283,0.0448093040864865,0.0353178930322757,0.0323294189988724,0.0819886611426079,0.0436705181546822,0.4734143366782427,0.0284523172387252,0.4030725706291514,0.2776556891413878,0.1416112703833893,0.0743216743662493,0.2329419028406737,0.8717449112067792
Alicante/Alacant,0.5960396424844354,0.024846390679065,0.3932774794381582,0.003093043274414,0.385814340662495,0.6638230089639299,0.0431709765193036,0.5512604394636377,0.1043541756777918,0.3286451905877785,0.9241968065178996,0.8340829502265447,0.8940314969172076,0.9241973934549952,0.8340825803581815,0.1610749159206486,0.999649754477889,0.6674670105242505,0.003093043116445,0.9240247943198469,0.8766906679158338,0.8859197834186127,0.5645632295309932,0.5747547462461607,0.95012930462352,1.4487166490282248e-06,0.7537746316253273,0.5589128599935492,0.4463195685692743,0.1947040425731796,0.4800504482028464,0.6249197174052665,0.1012021962797587,0.1051451863988586,0.0977616629539804,0.1171223630662585,0.1218147033281314,0.1004421706116706,0.5007762756214567,0.1644143408599551,0.4746631791094713,0.042320535589097,0.3501578551402623,0.3374094634056313,0.3887339194321792,0.0881020269266688,0.5517067015023831,0.5862938939630119
Almería,0.2752307233100761,0.0395581887047549,0.138882745157019,0.0035384962577609,0.1660399563694816,0.3831918120382621,0.0477056983912848,0.3871290078811868,0.225989361181073,0.3092267640982265,0.9448340840551174,0.8750017672394982,0.9194134558012548,0.9448339027277568,0.875000798884374,0.2106208061869404,0.9980956650612078,0.2694131303409786,0.0035384966372333,0.9265907810210752,0.8958881345369992,0.9062147299754494,0.8775062154987149,0.9058790797123992,0.9665215497312796,1.5038553415726794e-06,0.7891324927328434,0.6007581818307108,0.4710321809425796,0.1449786977423121,0.7740951379393408,0.6012095910939842,0.0603713044234465,0.0634088830741251,0.0577208056238913,0.0706625455170573,0.0650947769818934,0.0523865020965051,0.2141474051460968,0.1190064075348952,0.490912237632007,0.0891927628641467,0.6479549934241848,0.1782303765728085,0.1826957149869337,0.1735425495774284,0.5494328587648449,0.5242276148252663
Ávila,0.2752307233100761,0.0395581887047549,0.138882745157019,0.0035384962577609,0.1660399563694816,0.3831918120382621,0.0477056983912848,0.3871290078811868,0.3783027282755138,0.2877540072657691,0.9714443605007912,0.9321361591953928,0.9407778400564124,0.9714438804347943,0.9321357310942416,0.0575882630099595,0.991853289155698,0.0793377113326259,0.007178050643352,0.93306705736504,0.8869157511642054,0.8914424029240252,0.6776684505499136,0.6618784312522729,0.9549309024242278,1.4578766644514178e-06,0.7554469137669536,0.5765455112492462,0.2516080280279557,0.0575124722831103,0.5140478430100544,0.7069685292228645,0.0175033660896084,0.0178801839759212,0.0171745662558659,0.0207158816459623,0.0225185930041985,0.0172430635857848,0.0611600523331879,0.0534875670309142,0.1939365308783559,0.0994983230536724,0.7240261938289745,0.3198615460382714,0.2908728022435218,0.051762451187623,0.4241946675010021,0.4588526299509266
Badajoz,0.5543049024606912,0.0373017173742689,0.3469134382584437,0.0043191194457712,0.2508324243642,0.5787126011213489,0.0485525760949403,0.4600405813578327,0.1122111869712754,0.7259473058417337,0.673496388694242,0.478824167968277,0.664382447068183,0.6734968586199273,0.4788231730153476,0.1698159190238671,0.999122384791739,0.4445228835099741,0.0043191196068304,0.909299673165784,0.8927355418439206,0.8968848779045958,0.7108634275841726,0.7411767798696947,0.9571428444166502,1.4883739683862432e-06,0.7787323519703119,0.5062675927504586,0.4010242712068433,0.1777824517124128,0.471332327752256,0.630218368657675,0.04527622925994,0.0470880025020931,0.0436953309999657,0.0578479629672873,0.04705678783407,0.0426320926960442,0.0900305276929786,0.0691634933801869,0.5230788425476839,0.0256928236987266,0.3503073160046272,0.165885838138115,0.0407590396930501,0.0856231816934351,0.2301703064798247,1.0
Badalona,0.1535437753579108,0.0609493641958503,0.1353822924868548,0.0022378453141161,0.2058528044089786,0.4213160164954405,0.0343428480249378,0.4484393473291915,0.4050912081081845,0.2892393994647735,0.9701611427732192,0.9292569418704216,0.937291843708753,0.9701620623222798,0.9292559127030284,0.1205381078490308,0.9977474209420804,0.2376527527926334,0.0022378449872531,0.9438647582553816,0.9445858707041332,0.95779545205556,0.8177931819139522,0.904172490393589,0.9843230949727538,1.685778389392594e-06,0.9249523399589636,0.8035669867696071,0.4036372726390401,0.0927677828248818,0.8878753908707276,0.6710019267822736,0.066921759782651,0.0708012554226497,0.0635366298093418,0.062761743264171,0.0606559624940417,0.0619394773769036,0.0383602267771478,0.0580074591282878,0.5107472131172006,0.1181111369274878,0.4869452482838377,0.4554680773659044,0.0420602161589938,0.0975073824647574,0.6708143686105005,0.2845021193811321
